codigo|titulo|autor|ejemplares_disponibles|sede
LIB0041|Libro 41|Autor 44|4|Sede Norte
LIB0042|Libro 42|Autor 8|10|Sede Central
LIB0043|Libro 43|Autor 17|6|Sede Norte
LIB0044|Libro 44|Autor 16|2|Sede Norte
LIB0045|Libro 45|Autor 11|10|Sede Central
LIB0046|Libro 46|Autor 49|10|Sede Norte
LIB0047|Libro 47|Autor 41|6|Sede Central
LIB0048|Libro 48|Autor 22|7|Sede Sur
LIB0049|Libro 49|Autor 18|8|Sede Norte
LIB0050|Libro 50|Autor 41|1|Sede Sur
LIB0051|Libro 51|Autor 32|7|Sede Sur
LIB0052|Libro 52|Autor 11|8|Sede Central
LIB0053|Libro 53|Autor 45|8|Sede Central
LIB0054|Libro 54|Autor 11|2|Sede Central
LIB0055|Libro 55|Autor 48|2|Sede Central
LIB0056|Libro 56|Autor 40|5|Sede Central
LIB0057|Libro 57|Autor 27|1|Sede Central
LIB0058|Libro 58|Autor 31|10|Sede Central
LIB0059|Libro 59|Autor 35|9|Sede Sur
LIB0060|Libro 60|Autor 36|1|Sede Central
LIB0061|Libro 61|Autor 35|6|Sede Norte
LIB0062|Libro 62|Autor 18|2|Sede Central
LIB0063|Libro 63|Autor 18|5|Sede Norte
LIB0064|Libro 64|Autor 42|8|Sede Central
LIB0065|Libro 65|Autor 43|6|Sede Norte
LIB0066|Libro 66|Autor 2|7|Sede Central
LIB0067|Libro 67|Autor 42|5|Sede Sur
LIB0068|Libro 68|Autor 15|9|Sede Norte
LIB0069|Libro 69|Autor 25|10|Sede Norte
LIB0070|Libro 70|Autor 3|10|Sede Norte
LIB0071|Libro 71|Autor 23|3|Sede Sur
LIB0072|Libro 72|Autor 43|6|Sede Sur
LIB0073|Libro 73|Autor 43|6|Sede Sur
LIB0074|Libro 74|Autor 10|2|Sede Sur
LIB0075|Libro 75|Autor 4|7|Sede Sur
LIB0076|Libro 76|Autor 19|9|Sede Sur
LIB0077|Libro 77|Autor 27|3|Sede Sur
LIB0078|Libro 78|Autor 46|3|Sede Central
LIB0079|Libro 79|Autor 43|10|Sede Central
LIB0080|Libro 80|Autor 5|9|Sede Norte
LIB0081|Libro 81|Autor 44|10|Sede Norte
LIB0082|Libro 82|Autor 5|5|Sede Sur
LIB0083|Libro 83|Autor 37|4|Sede Norte
LIB0084|Libro 84|Autor 4|10|Sede Norte
LIB0085|Libro 85|Autor 50|7|Sede Central
LIB0086|Libro 86|Autor 7|2|Sede Sur
LIB0087|Libro 87|Autor 20|2|Sede Sur
LIB0088|Libro 88|Autor 6|6|Sede Central
LIB0089|Libro 89|Autor 47|7|Sede Sur
LIB0090|Libro 90|Autor 23|8|Sede Sur
LIB0091|Libro 91|Autor 6|7|Sede Sur
LIB0092|Libro 92|Autor 4|8|Sede Central
LIB0093|Libro 93|Autor 37|4|Sede Sur
LIB0094|Libro 94|Autor 47|3|Sede Norte
LIB0095|Libro 95|Autor 6|7|Sede Norte
LIB0096|Libro 96|Autor 4|10|Sede Sur
LIB0097|Libro 97|Autor 11|9|Sede Sur
LIB0098|Libro 98|Autor 4|2|Sede Norte
LIB0099|Libro 99|Autor 1|6|Sede Norte
LIB0100|Libro 100|Autor 21|7|Sede Sur
LIB0101|Libro 101|Autor 25|8|Sede Central
LIB0102|Libro 102|Autor 20|8|Sede Norte
LIB0103|Libro 103|Autor 46|10|Sede Sur
LIB0104|Libro 104|Autor 20|2|Sede Central
LIB0105|Libro 105|Autor 22|2|Sede Sur
LIB0106|Libro 106|Autor 42|8|Sede Central
LIB0107|Libro 107|Autor 7|2|Sede Norte
LIB0108|Libro 108|Autor 17|2|Sede Norte
LIB0109|Libro 109|Autor 20|2|Sede Central
LIB0110|Libro 110|Autor 36|9|Sede Sur
LIB0111|Libro 111|Autor 2|3|Sede Sur
LIB0112|Libro 112|Autor 17|10|Sede Central
LIB0113|Libro 113|Autor 27|3|Sede Central
LIB0114|Libro 114|Autor 39|9|Sede Norte
LIB0115|Libro 115|Autor 6|9|Sede Central
LIB0116|Libro 116|Autor 28|9|Sede Norte
LIB0117|Libro 117|Autor 32|4|Sede Sur
LIB0118|Libro 118|Autor 5|2|Sede Norte
LIB0119|Libro 119|Autor 25|8|Sede Central
LIB0120|Libro 120|Autor 37|4|Sede Norte
LIB0121|Libro 121|Autor 45|8|Sede Central
LIB0122|Libro 122|Autor 49|4|Sede Sur
LIB0123|Libro 123|Autor 10|5|Sede Central
LIB0124|Libro 124|Autor 32|8|Sede Sur
LIB0125|Libro 125|Autor 48|3|Sede Sur
LIB0126|Libro 126|Autor 17|10|Sede Sur
LIB0127|Libro 127|Autor 38|10|Sede Norte
LIB0128|Libro 128|Autor 27|3|Sede Central
LIB0129|Libro 129|Autor 35|5|Sede Norte
LIB0130|Libro 130|Autor 27|10|Sede Central
LIB0131|Libro 131|Autor 4|2|Sede Norte
LIB0132|Libro 132|Autor 30|6|Sede Norte
LIB0133|Libro 133|Autor 24|6|Sede Norte
LIB0134|Libro 134|Autor 3|10|Sede Central
LIB0135|Libro 135|Autor 26|5|Sede Central
LIB0136|Libro 136|Autor 31|3|Sede Central
LIB0137|Libro 137|Autor 8|4|Sede Norte
LIB0138|Libro 138|Autor 12|4|Sede Norte
LIB0139|Libro 139|Autor 40|2|Sede Central
LIB0140|Libro 140|Autor 18|1|Sede Norte
LIB0141|Libro 141|Autor 24|1|Sede Norte
LIB0142|Libro 142|Autor 7|1|Sede Central
LIB0143|Libro 143|Autor 31|8|Sede Sur
LIB0144|Libro 144|Autor 6|4|Sede Central
LIB0145|Libro 145|Autor 43|1|Sede Central
LIB0146|Libro 146|Autor 18|8|Sede Sur
LIB0147|Libro 147|Autor 33|9|Sede Sur
LIB0148|Libro 148|Autor 15|10|Sede Central
LIB0149|Libro 149|Autor 33|8|Sede Sur
LIB0150|Libro 150|Autor 43|3|Sede Central
LIB0151|Libro 151|Autor 34|3|Sede Norte
LIB0152|Libro 152|Autor 42|10|Sede Central
LIB0153|Libro 153|Autor 1|2|Sede Norte
LIB0154|Libro 154|Autor 11|9|Sede Central
LIB0155|Libro 155|Autor 50|10|Sede Central
LIB0156|Libro 156|Autor 11|1|Sede Central
LIB0157|Libro 157|Autor 30|8|Sede Sur
LIB0158|Libro 158|Autor 34|2|Sede Central
LIB0159|Libro 159|Autor 33|10|Sede Norte
LIB0160|Libro 160|Autor 26|2|Sede Sur
LIB0161|Libro 161|Autor 35|7|Sede Central
LIB0162|Libro 162|Autor 29|8|Sede Sur
LIB0163|Libro 163|Autor 36|2|Sede Central
LIB0164|Libro 164|Autor 20|5|Sede Central
LIB0165|Libro 165|Autor 10|4|Sede Sur
LIB0166|Libro 166|Autor 11|1|Sede Sur
LIB0167|Libro 167|Autor 1|3|Sede Sur
LIB0168|Libro 168|Autor 27|1|Sede Sur
LIB0169|Libro 169|Autor 40|5|Sede Norte
LIB0170|Libro 170|Autor 27|8|Sede Norte
LIB0171|Libro 171|Autor 42|6|Sede Central
LIB0172|Libro 172|Autor 3|6|Sede Norte
LIB0173|Libro 173|Autor 6|6|Sede Central
LIB0174|Libro 174|Autor 31|5|Sede Norte
LIB0175|Libro 175|Autor 31|10|Sede Sur
LIB0176|Libro 176|Autor 28|7|Sede Sur
LIB0177|Libro 177|Autor 3|2|Sede Central
LIB0178|Libro 178|Autor 11|5|Sede Central
LIB0179|Libro 179|Autor 19|8|Sede Norte
LIB0180|Libro 180|Autor 18|8|Sede Norte
LIB0181|Libro 181|Autor 6|2|Sede Sur
LIB0182|Libro 182|Autor 14|5|Sede Sur
LIB0183|Libro 183|Autor 40|10|Sede Central
LIB0184|Libro 184|Autor 45|4|Sede Sur
LIB0185|Libro 185|Autor 34|2|Sede Central
LIB0186|Libro 186|Autor 12|10|Sede Sur
LIB0187|Libro 187|Autor 16|7|Sede Norte
LIB0188|Libro 188|Autor 6|3|Sede Central
LIB0189|Libro 189|Autor 32|1|Sede Norte
LIB0190|Libro 190|Autor 18|1|Sede Norte
LIB0191|Libro 191|Autor 42|5|Sede Sur
LIB0192|Libro 192|Autor 28|7|Sede Central
LIB0193|Libro 193|Autor 42|9|Sede Norte
LIB0194|Libro 194|Autor 26|6|Sede Central
LIB0195|Libro 195|Autor 31|4|Sede Sur
LIB0196|Libro 196|Autor 46|8|Sede Sur
LIB0197|Libro 197|Autor 29|2|Sede Norte
LIB0198|Libro 198|Autor 1|4|Sede Sur
LIB0199|Libro 199|Autor 27|4|Sede Norte
LIB0200|Libro 200|Autor 22|6|Sede Norte
LIB0201|Libro 201|Autor 12|1|Sede Central
LIB0202|Libro 202|Autor 33|9|Sede Norte
LIB0203|Libro 203|Autor 41|3|Sede Sur
LIB0204|Libro 204|Autor 41|4|Sede Sur
LIB0205|Libro 205|Autor 5|4|Sede Sur
LIB0206|Libro 206|Autor 49|3|Sede Central
LIB0207|Libro 207|Autor 3|8|Sede Central
LIB0208|Libro 208|Autor 27|7|Sede Sur
LIB0209|Libro 209|Autor 16|4|Sede Norte
LIB0210|Libro 210|Autor 2|5|Sede Norte
LIB0211|Libro 211|Autor 9|1|Sede Central
LIB0212|Libro 212|Autor 22|4|Sede Sur
LIB0213|Libro 213|Autor 13|4|Sede Central
LIB0214|Libro 214|Autor 49|6|Sede Central
LIB0215|Libro 215|Autor 49|4|Sede Sur
LIB0216|Libro 216|Autor 17|7|Sede Norte
LIB0217|Libro 217|Autor 28|10|Sede Norte
LIB0218|Libro 218|Autor 25|7|Sede Norte
LIB0219|Libro 219|Autor 28|9|Sede Sur
LIB0220|Libro 220|Autor 30|5|Sede Norte
LIB0221|Libro 221|Autor 11|5|Sede Sur
LIB0222|Libro 222|Autor 7|9|Sede Central
LIB0223|Libro 223|Autor 37|7|Sede Sur
LIB0224|Libro 224|Autor 41|9|Sede Norte
LIB0225|Libro 225|Autor 23|10|Sede Central
LIB0226|Libro 226|Autor 43|4|Sede Sur
LIB0227|Libro 227|Autor 18|10|Sede Norte
LIB0228|Libro 228|Autor 27|10|Sede Central
LIB0229|Libro 229|Autor 43|9|Sede Central
LIB0230|Libro 230|Autor 15|2|Sede Sur
LIB0231|Libro 231|Autor 18|6|Sede Central
LIB0232|Libro 232|Autor 7|9|Sede Central
LIB0233|Libro 233|Autor 33|2|Sede Central
LIB0234|Libro 234|Autor 36|6|Sede Central
LIB0235|Libro 235|Autor 11|9|Sede Norte
LIB0236|Libro 236|Autor 39|8|Sede Norte
LIB0237|Libro 237|Autor 37|3|Sede Central
LIB0238|Libro 238|Autor 1|1|Sede Central
LIB0239|Libro 239|Autor 34|2|Sede Central
LIB0240|Libro 240|Autor 37|3|Sede Central
LIB0241|Libro 241|Autor 16|8|Sede Central
LIB0242|Libro 242|Autor 21|3|Sede Norte
LIB0243|Libro 243|Autor 5|6|Sede Sur
LIB0244|Libro 244|Autor 41|6|Sede Sur
LIB0245|Libro 245|Autor 15|4|Sede Sur
LIB0246|Libro 246|Autor 44|5|Sede Sur
LIB0247|Libro 247|Autor 49|8|Sede Central
LIB0248|Libro 248|Autor 22|4|Sede Norte
LIB0249|Libro 249|Autor 4|10|Sede Norte
LIB0250|Libro 250|Autor 3|3|Sede Norte
LIB0251|Libro 251|Autor 29|1|Sede Central
LIB0252|Libro 252|Autor 12|4|Sede Norte
LIB0253|Libro 253|Autor 43|4|Sede Central
LIB0254|Libro 254|Autor 11|5|Sede Sur
LIB0255|Libro 255|Autor 10|1|Sede Central
LIB0256|Libro 256|Autor 16|1|Sede Norte
LIB0257|Libro 257|Autor 17|4|Sede Norte
LIB0258|Libro 258|Autor 46|5|Sede Central
LIB0259|Libro 259|Autor 13|3|Sede Norte
LIB0260|Libro 260|Autor 40|4|Sede Sur
LIB0261|Libro 261|Autor 22|7|Sede Norte
LIB0262|Libro 262|Autor 20|1|Sede Norte
LIB0263|Libro 263|Autor 44|1|Sede Sur
LIB0264|Libro 264|Autor 42|1|Sede Sur
LIB0265|Libro 265|Autor 29|3|Sede Sur
LIB0266|Libro 266|Autor 41|5|Sede Sur
LIB0267|Libro 267|Autor 10|2|Sede Central
LIB0268|Libro 268|Autor 1|5|Sede Central
LIB0269|Libro 269|Autor 39|9|Sede Central
LIB0270|Libro 270|Autor 38|3|Sede Central
LIB0271|Libro 271|Autor 1|8|Sede Sur
LIB0272|Libro 272|Autor 17|5|Sede Central
LIB0273|Libro 273|Autor 26|8|Sede Sur
LIB0274|Libro 274|Autor 27|2|Sede Central
LIB0275|Libro 275|Autor 46|2|Sede Norte
LIB0276|Libro 276|Autor 3|10|Sede Sur
LIB0277|Libro 277|Autor 24|2|Sede Central
LIB0278|Libro 278|Autor 38|6|Sede Norte
LIB0279|Libro 279|Autor 27|6|Sede Norte
LIB0280|Libro 280|Autor 39|1|Sede Central
LIB0281|Libro 281|Autor 18|1|Sede Central
LIB0282|Libro 282|Autor 7|6|Sede Norte
LIB0283|Libro 283|Autor 7|10|Sede Norte
LIB0284|Libro 284|Autor 38|5|Sede Central
LIB0285|Libro 285|Autor 19|5|Sede Norte
LIB0286|Libro 286|Autor 50|4|Sede Sur
LIB0287|Libro 287|Autor 38|5|Sede Central
LIB0288|Libro 288|Autor 4|2|Sede Sur
LIB0289|Libro 289|Autor 37|5|Sede Sur
LIB0290|Libro 290|Autor 5|5|Sede Sur
LIB0291|Libro 291|Autor 44|2|Sede Norte
LIB0292|Libro 292|Autor 19|1|Sede Central
LIB0293|Libro 293|Autor 46|8|Sede Sur
LIB0294|Libro 294|Autor 45|5|Sede Norte
LIB0295|Libro 295|Autor 7|3|Sede Central
LIB0296|Libro 296|Autor 8|5|Sede Central
LIB0297|Libro 297|Autor 50|8|Sede Central
LIB0298|Libro 298|Autor 34|6|Sede Sur
LIB0299|Libro 299|Autor 33|5|Sede Sur
LIB0300|Libro 300|Autor 24|1|Sede Central
LIB0301|Libro 301|Autor 34|8|Sede Norte
LIB0302|Libro 302|Autor 30|7|Sede Sur
LIB0303|Libro 303|Autor 24|3|Sede Central
LIB0304|Libro 304|Autor 8|5|Sede Norte
LIB0305|Libro 305|Autor 46|3|Sede Sur
LIB0306|Libro 306|Autor 8|10|Sede Sur
LIB0307|Libro 307|Autor 10|3|Sede Norte
LIB0308|Libro 308|Autor 45|3|Sede Sur
LIB0309|Libro 309|Autor 18|7|Sede Sur
LIB0310|Libro 310|Autor 44|7|Sede Central
LIB0311|Libro 311|Autor 17|3|Sede Norte
LIB0312|Libro 312|Autor 40|3|Sede Central
LIB0313|Libro 313|Autor 25|3|Sede Norte
LIB0314|Libro 314|Autor 37|6|Sede Central
LIB0315|Libro 315|Autor 24|3|Sede Central
LIB0316|Libro 316|Autor 38|5|Sede Norte
LIB0317|Libro 317|Autor 19|1|Sede Sur
LIB0318|Libro 318|Autor 36|8|Sede Central
LIB0319|Libro 319|Autor 38|6|Sede Sur
LIB0320|Libro 320|Autor 12|1|Sede Central
LIB0321|Libro 321|Autor 26|8|Sede Central
LIB0322|Libro 322|Autor 42|5|Sede Central
LIB0323|Libro 323|Autor 42|1|Sede Sur
LIB0324|Libro 324|Autor 11|6|Sede Central
LIB0325|Libro 325|Autor 5|5|Sede Central
LIB0326|Libro 326|Autor 25|5|Sede Sur
LIB0327|Libro 327|Autor 50|10|Sede Norte
LIB0328|Libro 328|Autor 5|2|Sede Sur
LIB0329|Libro 329|Autor 27|2|Sede Central
LIB0330|Libro 330|Autor 49|6|Sede Norte
LIB0331|Libro 331|Autor 30|3|Sede Central
LIB0332|Libro 332|Autor 24|3|Sede Norte
LIB0333|Libro 333|Autor 30|8|Sede Sur
LIB0334|Libro 334|Autor 49|10|Sede Central
LIB0335|Libro 335|Autor 7|9|Sede Central
LIB0336|Libro 336|Autor 32|2|Sede Norte
LIB0337|Libro 337|Autor 30|1|Sede Sur
LIB0338|Libro 338|Autor 45|1|Sede Sur
LIB0339|Libro 339|Autor 15|7|Sede Norte
LIB0340|Libro 340|Autor 32|10|Sede Norte
LIB0341|Libro 341|Autor 44|5|Sede Central
LIB0342|Libro 342|Autor 50|2|Sede Central
LIB0343|Libro 343|Autor 19|4|Sede Norte
LIB0344|Libro 344|Autor 5|2|Sede Central
LIB0345|Libro 345|Autor 25|1|Sede Norte
LIB0346|Libro 346|Autor 6|3|Sede Norte
LIB0347|Libro 347|Autor 50|3|Sede Sur
LIB0348|Libro 348|Autor 18|2|Sede Sur
LIB0349|Libro 349|Autor 36|10|Sede Central
LIB0350|Libro 350|Autor 18|6|Sede Sur
LIB0351|Libro 351|Autor 31|3|Sede Sur
LIB0352|Libro 352|Autor 36|10|Sede Sur
LIB0353|Libro 353|Autor 43|4|Sede Sur
LIB0354|Libro 354|Autor 6|10|Sede Sur
LIB0355|Libro 355|Autor 44|8|Sede Norte
LIB0356|Libro 356|Autor 10|2|Sede Central
LIB0357|Libro 357|Autor 3|6|Sede Norte
LIB0358|Libro 358|Autor 24|7|Sede Norte
LIB0359|Libro 359|Autor 16|8|Sede Sur
LIB0360|Libro 360|Autor 3|2|Sede Central
LIB0361|Libro 361|Autor 34|7|Sede Central
LIB0362|Libro 362|Autor 28|7|Sede Norte
LIB0363|Libro 363|Autor 33|3|Sede Central
LIB0364|Libro 364|Autor 12|7|Sede Central
LIB0365|Libro 365|Autor 24|10|Sede Central
LIB0366|Libro 366|Autor 34|10|Sede Central
LIB0367|Libro 367|Autor 18|5|Sede Sur
LIB0368|Libro 368|Autor 8|5|Sede Central
LIB0369|Libro 369|Autor 34|9|Sede Sur
LIB0370|Libro 370|Autor 38|9|Sede Central
LIB0371|Libro 371|Autor 22|4|Sede Central
LIB0372|Libro 372|Autor 22|4|Sede Norte
LIB0373|Libro 373|Autor 4|8|Sede Central
LIB0374|Libro 374|Autor 26|6|Sede Sur
LIB0375|Libro 375|Autor 25|2|Sede Norte
LIB0376|Libro 376|Autor 17|10|Sede Sur
LIB0377|Libro 377|Autor 34|5|Sede Sur
LIB0378|Libro 378|Autor 21|4|Sede Central
LIB0379|Libro 379|Autor 5|10|Sede Sur
LIB0380|Libro 380|Autor 36|5|Sede Sur
LIB0381|Libro 381|Autor 32|10|Sede Norte
LIB0382|Libro 382|Autor 23|9|Sede Central
LIB0383|Libro 383|Autor 11|9|Sede Central
LIB0384|Libro 384|Autor 35|2|Sede Sur
LIB0385|Libro 385|Autor 15|2|Sede Norte
LIB0386|Libro 386|Autor 24|7|Sede Norte
LIB0387|Libro 387|Autor 7|8|Sede Norte
LIB0388|Libro 388|Autor 28|2|Sede Norte
LIB0389|Libro 389|Autor 17|2|Sede Sur
LIB0390|Libro 390|Autor 49|4|Sede Central
LIB0391|Libro 391|Autor 5|7|Sede Central
LIB0392|Libro 392|Autor 45|6|Sede Norte
LIB0393|Libro 393|Autor 46|1|Sede Norte
LIB0394|Libro 394|Autor 10|5|Sede Sur
LIB0395|Libro 395|Autor 30|10|Sede Norte
LIB0396|Libro 396|Autor 43|6|Sede Sur
LIB0397|Libro 397|Autor 24|9|Sede Sur
LIB0398|Libro 398|Autor 44|3|Sede Sur
LIB0399|Libro 399|Autor 44|10|Sede Sur
LIB0400|Libro 400|Autor 48|1|Sede Central
LIB0401|Libro 401|Autor 8|8|Sede Sur
LIB0402|Libro 402|Autor 16|9|Sede Sur
LIB0403|Libro 403|Autor 40|8|Sede Central
LIB0404|Libro 404|Autor 36|10|Sede Norte
LIB0405|Libro 405|Autor 27|4|Sede Central
LIB0406|Libro 406|Autor 9|4|Sede Central
LIB0407|Libro 407|Autor 14|2|Sede Norte
LIB0408|Libro 408|Autor 35|8|Sede Central
LIB0409|Libro 409|Autor 44|5|Sede Sur
LIB0410|Libro 410|Autor 36|6|Sede Central
LIB0411|Libro 411|Autor 24|5|Sede Sur
LIB0412|Libro 412|Autor 36|1|Sede Sur
LIB0413|Libro 413|Autor 13|8|Sede Norte
LIB0414|Libro 414|Autor 26|5|Sede Norte
LIB0415|Libro 415|Autor 40|9|Sede Central
LIB0416|Libro 416|Autor 34|10|Sede Central
LIB0417|Libro 417|Autor 9|8|Sede Norte
LIB0418|Libro 418|Autor 20|10|Sede Central
LIB0419|Libro 419|Autor 5|8|Sede Sur
LIB0420|Libro 420|Autor 33|4|Sede Central
LIB0421|Libro 421|Autor 39|6|Sede Norte
LIB0422|Libro 422|Autor 6|1|Sede Norte
LIB0423|Libro 423|Autor 11|7|Sede Norte
LIB0424|Libro 424|Autor 23|10|Sede Norte
LIB0425|Libro 425|Autor 16|1|Sede Central
LIB0426|Libro 426|Autor 49|7|Sede Central
LIB0427|Libro 427|Autor 23|1|Sede Central
LIB0428|Libro 428|Autor 17|3|Sede Sur
LIB0429|Libro 429|Autor 11|3|Sede Sur
LIB0430|Libro 430|Autor 45|9|Sede Norte
LIB0431|Libro 431|Autor 1|9|Sede Sur
LIB0432|Libro 432|Autor 9|3|Sede Norte
LIB0433|Libro 433|Autor 47|7|Sede Sur
LIB0434|Libro 434|Autor 36|3|Sede Central
LIB0435|Libro 435|Autor 10|10|Sede Norte
LIB0436|Libro 436|Autor 1|8|Sede Central
LIB0437|Libro 437|Autor 7|6|Sede Norte
LIB0438|Libro 438|Autor 22|2|Sede Norte
LIB0439|Libro 439|Autor 7|6|Sede Norte
LIB0440|Libro 440|Autor 29|3|Sede Central
LIB0441|Libro 441|Autor 25|4|Sede Central
LIB0442|Libro 442|Autor 4|2|Sede Sur
LIB0443|Libro 443|Autor 41|7|Sede Central
LIB0444|Libro 444|Autor 21|9|Sede Central
LIB0445|Libro 445|Autor 13|4|Sede Sur
LIB0446|Libro 446|Autor 19|4|Sede Central
LIB0447|Libro 447|Autor 5|6|Sede Sur
LIB0448|Libro 448|Autor 48|1|Sede Central
LIB0449|Libro 449|Autor 49|9|Sede Sur
LIB0450|Libro 450|Autor 12|10|Sede Central
LIB0451|Libro 451|Autor 35|8|Sede Norte
LIB0452|Libro 452|Autor 3|5|Sede Central
LIB0453|Libro 453|Autor 12|8|Sede Norte
LIB0454|Libro 454|Autor 12|5|Sede Norte
LIB0455|Libro 455|Autor 40|2|Sede Sur
LIB0456|Libro 456|Autor 30|10|Sede Norte
LIB0457|Libro 457|Autor 43|7|Sede Sur
LIB0458|Libro 458|Autor 5|4|Sede Norte
LIB0459|Libro 459|Autor 40|10|Sede Sur
LIB0460|Libro 460|Autor 14|1|Sede Central
LIB0461|Libro 461|Autor 26|5|Sede Norte
LIB0462|Libro 462|Autor 49|8|Sede Sur
LIB0463|Libro 463|Autor 49|6|Sede Central
LIB0464|Libro 464|Autor 33|8|Sede Norte
LIB0465|Libro 465|Autor 20|3|Sede Sur
LIB0466|Libro 466|Autor 11|7|Sede Norte
LIB0467|Libro 467|Autor 12|10|Sede Central
LIB0468|Libro 468|Autor 27|3|Sede Sur
LIB0469|Libro 469|Autor 41|7|Sede Central
LIB0470|Libro 470|Autor 36|4|Sede Norte
LIB0471|Libro 471|Autor 7|8|Sede Sur
LIB0472|Libro 472|Autor 10|2|Sede Norte
LIB0473|Libro 473|Autor 31|2|Sede Sur
LIB0474|Libro 474|Autor 44|6|Sede Sur
LIB0475|Libro 475|Autor 16|4|Sede Sur
LIB0476|Libro 476|Autor 21|6|Sede Norte
LIB0477|Libro 477|Autor 20|2|Sede Central
LIB0478|Libro 478|Autor 40|7|Sede Sur
LIB0479|Libro 479|Autor 27|6|Sede Central
LIB0480|Libro 480|Autor 23|8|Sede Sur
LIB0481|Libro 481|Autor 2|5|Sede Central
LIB0482|Libro 482|Autor 2|1|Sede Norte
LIB0483|Libro 483|Autor 35|1|Sede Sur
LIB0484|Libro 484|Autor 34|9|Sede Norte
LIB0485|Libro 485|Autor 41|6|Sede Norte
LIB0486|Libro 486|Autor 8|10|Sede Sur
LIB0487|Libro 487|Autor 33|9|Sede Central
LIB0488|Libro 488|Autor 7|9|Sede Central
LIB0489|Libro 489|Autor 18|2|Sede Sur
LIB0490|Libro 490|Autor 9|5|Sede Central
LIB0491|Libro 491|Autor 50|5|Sede Sur
LIB0492|Libro 492|Autor 12|8|Sede Central
LIB0493|Libro 493|Autor 30|10|Sede Central
LIB0494|Libro 494|Autor 7|7|Sede Norte
LIB0495|Libro 495|Autor 20|1|Sede Norte
LIB0496|Libro 496|Autor 31|9|Sede Sur
LIB0497|Libro 497|Autor 37|10|Sede Central
LIB0498|Libro 498|Autor 50|9|Sede Norte
LIB0499|Libro 499|Autor 43|7|Sede Central
LIB0500|Libro 500|Autor 1|7|Sede Sur
LIB0501|Libro 501|Autor 20|7|Sede Central
LIB0502|Libro 502|Autor 25|5|Sede Central
LIB0503|Libro 503|Autor 30|2|Sede Sur
LIB0504|Libro 504|Autor 49|6|Sede Central
LIB0505|Libro 505|Autor 34|5|Sede Norte
LIB0506|Libro 506|Autor 2|4|Sede Norte
LIB0507|Libro 507|Autor 22|6|Sede Norte
LIB0508|Libro 508|Autor 29|10|Sede Central
LIB0509|Libro 509|Autor 45|3|Sede Central
LIB0510|Libro 510|Autor 50|7|Sede Central
LIB0511|Libro 511|Autor 49|4|Sede Sur
LIB0512|Libro 512|Autor 42|7|Sede Norte
LIB0513|Libro 513|Autor 43|3|Sede Central
LIB0514|Libro 514|Autor 21|4|Sede Norte
LIB0515|Libro 515|Autor 2|10|Sede Central
LIB0516|Libro 516|Autor 39|4|Sede Central
LIB0517|Libro 517|Autor 13|3|Sede Norte
LIB0518|Libro 518|Autor 48|1|Sede Norte
LIB0519|Libro 519|Autor 41|10|Sede Norte
LIB0520|Libro 520|Autor 7|4|Sede Central
LIB0521|Libro 521|Autor 49|3|Sede Norte
LIB0522|Libro 522|Autor 35|7|Sede Norte
LIB0523|Libro 523|Autor 20|7|Sede Central
